431156,4,2,20121130001937,116.3250198,39.7893143,0,184,1
403533,4,1,20121130001938,116.2890167,40.0328064,0,274,1
021614,4,0,20121130001938,116.2450638,40.1869698,0,222,1
480778,4,0,20121130001938,116.4343643,39.8314095,0,322,1
194437,4,0,20121130001941,116.2679138,39.9232788,41,298,1
156467,4,0,20121130001857,116.4124146,39.8640366,34,266,1
194205,4,0,20121130001941,116.0328064,39.6381149,12,64,1
053034,4,2,20121130001938,116.1122665,39.7488060,0,336,1
480663,4,0,20121130001941,116.4938965,39.9706993,19,272,1
199406,4,2,20121130001939,116.5220642,40.0303001,0,76,1
078245,4,0,20121130001941,116.3590546,39.9911003,0,306,1
096834,4,0,20121130001938,116.4076691,40.0563698,0,348,1
194020,4,0,20121130001941,116.2949982,39.9690819,28,184,1
492348,4,0,20121130001937,116.0835495,39.9492035,0,344,1
187138,4,2,20121130001939,116.2447510,39.8484650,0,134,1
194491,4,1,20121130001941,116.3055649,39.8735466,65,174,1
174870,4,0,20121130001941,116.5922699,40.0516129,63,88,1
495368,4,0,20121130001941,116.4935913,39.9730682,30,16,1
162443,4,0,20121130001941,116.4537048,39.8922806,45,270,1
194758,4,1,20121130001941,116.3473663,39.9604111,62,176,1
194612,4,0,20121130001852,116.2701340,39.9694176,69,220,1
403371,4,2,20121130001937,116.6261673,40.1262207,0,0,1
495303,4,0,20121130001941,116.3954391,39.9394417,45,266,1
489570,4,0,20121130001942,116.4968643,40.0076637,8,280,1
488238,4,0,20121130001853,116.6089478,40.0533867,0,0,1
199542,4,2,20121130001942,116.2801361,39.9440536,0,118,1
023834,4,0,20121130001941,116.4936981,39.9706535,0,88,1
431481,4,0,20121130001938,116.3820038,39.8883858,0,316,1
426048,4,1,20121130001941,116.5061798,40.0087662,26,220,1
194398,4,1,20121130001846,116.3033752,39.9818840,17,174,1
164971,4,0,20121130001938,116.3038483,39.9008675,10,172,1
489624,4,0,20121130001941,116.4154968,39.8757286,0,0,1
453469,4,0,20121130001941,116.4524460,39.8854218,38,352,1
068854,4,2,20121130001938,116.3913803,40.0798416,0,216,1
